CASSA,SERIE,DATA_ORA,POOL,ID_IMPIANTO,ID_LETTORE
34,57294,16/02/2006 8.39.00,1,175,2
34,57295,16/02/2006 8.39.00,1,175,1
75,16709,16/02/2006 8.52.00,1,175,4
73,24345,16/02/2006 8.52.00,1,175,3
71,14298,16/02/2006 8.53.00,1,175,1
71,14040,16/02/2006 8.53.00,1,175,3
75,25811,16/02/2006 8.53.00,1,175,2
73,24061,16/02/2006 8.53.00,1,175,1
75,25810,16/02/2006 8.53.00,1,175,2
31,97749,16/02/2006 8.56.00,1,175,1
31,97735,16/02/2006 8.56.00,1,175,2
31,97753,16/02/2006 8.58.00,1,175,2
73,23513,16/02/2006 8.58.00,1,175,3
31,97738,16/02/2006 8.58.00,1,175,3
74,53625,16/02/2006 8.59.00,1,175,3
73,23867,16/02/2006 8.59.00,1,175,1
73,23869,16/02/2006 8.59.00,314,175,2
75,16586,16/02/2006 9.00.00,1,175,1
104,22609,16/02/2006 9.00.00,1,175,2
74,83706,16/02/2006 9.00.00,1,175,3
75,16626,16/02/2006 9.01.00,1,175,4
75,25937,16/02/2006 9.01.00,1,175,3
74,83705,16/02/2006 9.02.00,1,175,2
74,83704,16/02/2006 9.02.00,1,175,3
73,24365,16/02/2006 9.02.00,1,175,3
72,15319,16/02/2006 9.02.00,1,175,4
74,83314,16/02/2006 9.03.00,1,175,3
31,97759,16/02/2006 9.03.00,1,175,2
31,97762,16/02/2006 9.04.00,1,175,1
74,83316,16/02/2006 9.04.00,1,175,4
74,83318,16/02/2006 9.04.00,1,175,3
74,47811,16/02/2006 9.04.00,1,175,4
75,25618,16/02/2006 9.04.00,1,175,3
73,23743,16/02/2006 9.05.00,1,175,3
73,23956,16/02/2006 9.07.00,1,175,4
92,35548,16/02/2006 9.07.00,92,175,2
73,23958,16/02/2006 9.07.00,1,175,2
92,35549,16/02/2006 9.07.00,92,175,3
73,23960,16/02/2006 9.07.00,311,175,4
74,47874,16/02/2006 9.08.00,311,175,3
74,47870,16/02/2006 9.08.00,311,175,3
92,35550,16/02/2006 9.08.00,92,175,2
92,33417,16/02/2006 9.08.00,92,175,3
91,78051,16/02/2006 9.08.00,311,175,3
74,47869,16/02/2006 9.08.00,311,175,4
113,8635,16/02/2006 9.08.00,1,175,1
74,47871,16/02/2006 9.08.00,311,175,4
74,47873,16/02/2006 9.08.00,311,175,3
74,48860,16/02/2006 9.08.00,1,175,2
92,35561,16/02/2006 9.08.00,92,175,4
92,33418,16/02/2006 9.08.00,92,175,4
75,25479,16/02/2006 9.09.00,1,175,2
75,25477,16/02/2006 9.09.00,1,175,2
74,47856,16/02/2006 9.09.00,1,175,3
75,26027,16/02/2006 9.09.00,1,175,4
75,25478,16/02/2006 9.09.00,1,175,4
75,25400,16/02/2006 9.09.00,1,175,2
75,16792,16/02/2006 9.10.00,1,175,4
75,25399,16/02/2006 9.10.00,1,175,2
75,25398,16/02/2006 9.10.00,1,175,3
75,25397,16/02/2006 9.10.00,1,175,1
74,82882,16/02/2006 9.10.00,1,175,3
74,82852,16/02/2006 9.10.00,1,175,2
75,25396,16/02/2006 9.10.00,1,175,1
75,26055,16/02/2006 9.10.00,1,175,2
74,82857,16/02/2006 9.11.00,1,175,2
74,47878,16/02/2006 9.11.00,311,175,3
74,47875,16/02/2006 9.11.00,311,175,3
73,24317,16/02/2006 9.11.00,1,175,2
74,83064,16/02/2006 9.11.00,1,175,2
74,47887,16/02/2006 9.11.00,311,175,4
74,82854,16/02/2006 9.11.00,1,175,4
113,8634,16/02/2006 9.11.00,1,175,3
74,82866,16/02/2006 9.11.00,1,175,1
74,47876,16/02/2006 9.11.00,311,175,1
74,82850,16/02/2006 9.11.00,1,175,4
74,47810,16/02/2006 9.12.00,1,175,2
91,78830,16/02/2006 9.12.00,1,175,2
91,78482,16/02/2006 9.12.00,314,175,3
71,13967,16/02/2006 9.12.00,1,175,2
74,47823,16/02/2006 9.12.00,1,175,3
91,78622,16/02/2006 9.12.00,1,175,3
91,78621,16/02/2006 9.13.00,1,175,2
91,78831,16/02/2006 9.13.00,1,175,1
79,31000,16/02/2006 9.13.00,1,175,3
98,24719,16/02/2006 9.13.00,1,175,2
98,24720,16/02/2006 9.13.00,1,175,2
79,30998,16/02/2006 9.13.00,1,175,2
71,13728,16/02/2006 9.13.00,1,175,3
91,78624,16/02/2006 9.13.00,1,175,3
91,78623,16/02/2006 9.13.00,1,175,4
71,13729,16/02/2006 9.13.00,1,175,2
95,4060,16/02/2006 9.15.00,1,175,2
147,30604,16/02/2006 9.16.00,1,175,3
81,21378,16/02/2006 9.16.00,1,175,2
91,76631,16/02/2006 9.16.00,1,175,4
91,76629,16/02/2006 9.16.00,1,175,1
91,76630,16/02/2006 9.16.00,1,175,2
79,30956,16/02/2006 9.16.00,1,175,1
147,30602,16/02/2006 9.16.00,1,175,4
81,21712,16/02/2006 9.16.00,1,175,1
81,21376,16/02/2006 9.16.00,1,175,3
91,77018,16/02/2006 9.17.00,1,175,2
91,77019,16/02/2006 9.17.00,1,175,2
75,25601,16/02/2006 9.17.00,1,175,3
73,23784,16/02/2006 9.17.00,1,175,4
91,77017,16/02/2006 9.17.00,1,175,2
75,25560,16/02/2006 9.17.00,1,175,2
95,4061,16/02/2006 9.17.00,1,175,3
73,23785,16/02/2006 9.18.00,1,175,2
71,13631,16/02/2006 9.19.00,1,175,2
71,14211,16/02/2006 9.20.00,1,175,3
71,14212,16/02/2006 9.20.00,1,175,3
71,14213,16/02/2006 9.20.00,1,175,4
83,32392,16/02/2006 9.21.00,1,175,3
75,25827,16/02/2006 9.21.00,1,175,2
75,25825,16/02/2006 9.21.00,1,175,1
75,25826,16/02/2006 9.21.00,1,175,2
214,6557,16/02/2006 9.22.00,1,175,3
42,34688,16/02/2006 9.22.00,1,175,1
214,6535,16/02/2006 9.22.00,1,175,4
42,34708,16/02/2006 9.22.00,1,175,2
42,34694,16/02/2006 9.22.00,1,175,1
214,6556,16/02/2006 9.22.00,1,175,3
214,6547,16/02/2006 9.22.00,1,175,2
42,34702,16/02/2006 9.22.00,1,175,2
42,34695,16/02/2006 9.22.00,1,175,1
214,6558,16/02/2006 9.22.00,1,175,3
214,6534,16/02/2006 9.22.00,1,175,2
42,34698,16/02/2006 9.22.00,1,175,1
42,34685,16/02/2006 9.22.00,1,175,2
42,34718,16/02/2006 9.23.00,1,175,3
84,31104,16/02/2006 9.23.00,1,175,2
56,2783,16/02/2006 9.23.00,1,175,2
42,34681,16/02/2006 9.23.00,1,175,2
74,48002,16/02/2006 9.23.00,1,175,3
42,34705,16/02/2006 9.23.00,1,175,2
42,34686,16/02/2006 9.23.00,1,175,4
42,34683,16/02/2006 9.23.00,1,175,3
56,2785,16/02/2006 9.23.00,1,175,1
42,34710,16/02/2006 9.23.00,1,175,1
42,34684,16/02/2006 9.23.00,1,175,1
92,49738,16/02/2006 9.24.00,314,175,1
79,31398,16/02/2006 9.24.00,1,175,1
71,13752,16/02/2006 9.24.00,1,175,2
71,13753,16/02/2006 9.24.00,1,175,2
201,16381,16/02/2006 9.24.00,1,175,2
74,83277,16/02/2006 9.24.00,1,175,4
76,26396,16/02/2006 9.24.00,311,175,3
71,13751,16/02/2006 9.24.00,1,175,4
74,83352,16/02/2006 9.24.00,1,175,3
42,34691,16/02/2006 9.24.00,1,175,3
42,34689,16/02/2006 9.24.00,1,175,4
73,23694,16/02/2006 9.24.00,1,175,4
73,23695,16/02/2006 9.24.00,1,175,2
42,34716,16/02/2006 9.24.00,1,175,2
201,23952,16/02/2006 9.25.00,1,175,3
79,31402,16/02/2006 9.25.00,1,175,2
74,81562,16/02/2006 9.25.00,1,175,4
71,13619,16/02/2006 9.25.00,311,175,3
53,23317,16/02/2006 9.25.00,1,175,3
53,23340,16/02/2006 9.25.00,1,175,1
71,13618,16/02/2006 9.25.00,311,175,2
79,31400,16/02/2006 9.25.00,1,175,3
53,23336,16/02/2006 9.25.00,1,175,2
79,31401,16/02/2006 9.25.00,1,175,1
74,64991,16/02/2006 9.25.00,1,175,3
76,26272,16/02/2006 9.25.00,1,175,4
79,31399,16/02/2006 9.25.00,1,175,4
75,26663,16/02/2006 9.25.00,311,175,4
