CASSA,SERIE,DATA_ORA,POOL,ID_IMPIANTO,ID_LETTORE
34,35564,12/03/2006 8.34.00,1,175,2
74,90641,12/03/2006 8.41.00,1,175,3
74,90640,12/03/2006 8.41.00,1,175,2
74,90642,12/03/2006 8.42.00,1,175,3
91,89645,12/03/2006 8.49.00,1,175,2
91,89646,12/03/2006 8.49.00,1,175,3
91,89648,12/03/2006 8.50.00,1,175,3
91,89647,12/03/2006 8.50.00,1,175,2
32,91968,12/03/2006 8.58.00,1,175,1
32,91970,12/03/2006 8.58.00,1,175,2
75,30785,12/03/2006 8.59.00,1,175,3
75,30853,12/03/2006 9.00.00,1,175,2
36,30702,12/03/2006 9.00.00,1,175,1
72,25282,12/03/2006 9.00.00,1,175,2
31,68307,12/03/2006 9.00.00,1,175,3
72,25281,12/03/2006 9.00.00,1,175,3
75,30786,12/03/2006 9.00.00,1,175,2
75,31075,12/03/2006 9.01.00,1,175,3
33,44105,12/03/2006 9.01.00,1,175,2
91,89885,12/03/2006 9.01.00,311,175,3
91,89891,12/03/2006 9.02.00,311,175,1
73,29305,12/03/2006 9.03.00,1,175,2
74,53625,12/03/2006 9.03.00,1,175,1
75,30791,12/03/2006 9.03.00,1,175,2
74,53397,12/03/2006 9.03.00,1,175,1
74,88904,12/03/2006 9.04.00,1,175,2
36,30704,12/03/2006 9.04.00,1,175,3
75,31076,12/03/2006 9.04.00,1,175,2
74,88902,12/03/2006 9.04.00,1,175,3
71,16602,12/03/2006 9.04.00,1,175,1
74,53920,12/03/2006 9.04.00,1,175,3
74,91465,12/03/2006 9.04.00,1,175,4
71,16603,12/03/2006 9.04.00,1,175,3
75,16729,12/03/2006 9.05.00,1,175,2
73,28777,12/03/2006 9.05.00,1,175,3
73,29301,12/03/2006 9.05.00,1,175,2
74,91463,12/03/2006 9.05.00,1,175,3
75,16945,12/03/2006 9.06.00,1,175,4
91,89685,12/03/2006 9.07.00,1,175,2
91,89684,12/03/2006 9.07.00,1,175,3
75,16830,12/03/2006 9.07.00,1,175,4
72,25150,12/03/2006 9.09.00,1,175,3
71,16534,12/03/2006 9.10.00,1,175,1
72,25151,12/03/2006 9.10.00,1,175,3
105,29050,12/03/2006 9.10.00,1,175,2
71,16535,12/03/2006 9.10.00,1,175,2
73,14946,12/03/2006 9.11.00,1,175,3
75,30841,12/03/2006 9.11.00,1,175,3
71,16695,12/03/2006 9.11.00,1,175,1
71,16862,12/03/2006 9.11.00,1,175,3
73,29015,12/03/2006 9.11.00,1,175,1
72,25325,12/03/2006 9.11.00,1,175,2
75,30876,12/03/2006 9.11.00,1,175,2
