CASSA,SERIE,DATA_ORA,POOL,ID_IMPIANTO,ID_LETTORE
108,16228,02/02/2006 8.31.00,4,221,4
110,29727,02/02/2006 8.31.00,1,221,4
101,43371,02/02/2006 8.31.00,1,221,3
110,29728,02/02/2006 8.31.00,1,221,4
101,43372,02/02/2006 8.31.00,1,221,2
99,29861,02/02/2006 8.31.00,1,221,1
111,22615,02/02/2006 8.31.00,1,221,2
112,36491,02/02/2006 8.31.00,1,221,2
96,26572,02/02/2006 8.31.00,1,221,2
105,23800,02/02/2006 8.31.00,1,221,1
100,27646,02/02/2006 8.31.00,1,221,1
96,27239,02/02/2006 8.31.00,1,221,4
96,27237,02/02/2006 8.31.00,1,221,3
99,30855,02/02/2006 8.31.00,1,221,1
112,38317,02/02/2006 8.31.00,1,221,2
105,23801,02/02/2006 8.31.00,1,221,1
100,27647,02/02/2006 8.31.00,1,221,3
98,15942,02/02/2006 8.31.00,1,221,4
96,27235,02/02/2006 8.31.00,1,221,3
112,38315,02/02/2006 8.31.00,1,221,2
100,27645,02/02/2006 8.31.00,1,221,3
101,29129,02/02/2006 8.31.00,1,221,1
100,27644,02/02/2006 8.31.00,1,221,1
96,26571,02/02/2006 8.31.00,1,221,4
100,27530,02/02/2006 8.31.00,1,221,3
109,18051,02/02/2006 8.31.00,1,221,4
96,26569,02/02/2006 8.31.00,1,221,1
33,44461,02/02/2006 8.31.00,1,221,3
109,24407,02/02/2006 8.31.00,1,221,4
111,22614,02/02/2006 8.31.00,1,221,3
100,27643,02/02/2006 8.31.00,1,221,2
96,26570,02/02/2006 8.31.00,1,221,4
32,51903,02/02/2006 8.33.00,1,221,2
126,21086,02/02/2006 8.33.00,1,221,3
108,21564,02/02/2006 8.33.00,1,221,3
96,27199,02/02/2006 8.33.00,1,221,4
98,23037,02/02/2006 8.33.00,1,221,2
126,21087,02/02/2006 8.33.00,1,221,2
104,21432,02/02/2006 8.33.00,1,221,4
108,21563,02/02/2006 8.33.00,1,221,2
106,25920,02/02/2006 8.33.00,1,221,4
96,26672,02/02/2006 8.34.00,1,221,2
102,27346,02/02/2006 8.34.00,1,221,2
102,27347,02/02/2006 8.34.00,1,221,3
98,22914,02/02/2006 8.34.00,1,221,2
102,27250,02/02/2006 8.34.00,1,221,4
102,27343,02/02/2006 8.34.00,1,221,2
102,27344,02/02/2006 8.34.00,1,221,4
99,30322,02/02/2006 8.34.00,1,221,4
96,26688,02/02/2006 8.34.00,1,221,2
96,27664,02/02/2006 8.35.00,1,221,1
96,27665,02/02/2006 8.35.00,1,221,1
117,50300,02/02/2006 8.35.00,4,221,1
96,26988,02/02/2006 8.35.00,1,221,3
99,30859,02/02/2006 8.35.00,1,221,2
97,25797,02/02/2006 8.35.00,1,221,4
96,26987,02/02/2006 8.35.00,1,221,2
99,30043,02/02/2006 8.35.00,1,221,2
118,38886,02/02/2006 8.35.00,1,221,1
99,30044,02/02/2006 8.35.00,1,221,4
98,23077,02/02/2006 8.35.00,1,221,3
98,22781,02/02/2006 8.35.00,1,221,2
96,27666,02/02/2006 8.35.00,1,221,1
97,25796,02/02/2006 8.35.00,1,221,2
101,43951,02/02/2006 8.35.00,1,221,1
98,22804,02/02/2006 8.36.00,1,221,1
98,16045,02/02/2006 8.36.00,1,221,4
96,26792,02/02/2006 8.36.00,1,221,3
97,25672,02/02/2006 8.36.00,1,221,1
99,21782,02/02/2006 8.36.00,1,221,3
96,27440,02/02/2006 8.36.00,1,221,1
96,17994,02/02/2006 8.36.00,1,221,2
101,29148,02/02/2006 8.36.00,1,221,4
105,17754,02/02/2006 8.36.00,4,221,2
101,43764,02/02/2006 8.36.00,1,221,1
101,43765,02/02/2006 8.36.00,1,221,1
98,14870,02/02/2006 8.36.00,1,221,3
97,25662,02/02/2006 8.36.00,1,221,1
97,25671,02/02/2006 8.36.00,1,221,1
101,44092,02/02/2006 8.36.00,1,221,1
97,25113,02/02/2006 8.37.00,1,221,4
100,27412,02/02/2006 8.37.00,1,221,2
99,30097,02/02/2006 8.37.00,1,221,4
100,27033,02/02/2006 8.37.00,1,221,3
101,44135,02/02/2006 8.37.00,1,221,4
99,30331,02/02/2006 8.37.00,1,221,2
113,10831,02/02/2006 8.37.00,1,221,4
112,36474,02/02/2006 8.37.00,1,221,3
98,22437,02/02/2006 8.37.00,1,221,2
100,27411,02/02/2006 8.37.00,1,221,2
96,27437,02/02/2006 8.37.00,1,221,1
100,20026,02/02/2006 8.37.00,1,221,2
100,26969,02/02/2006 8.37.00,1,221,4
96,27438,02/02/2006 8.37.00,1,221,1
126,21088,02/02/2006 8.37.00,1,221,3
113,10832,02/02/2006 8.37.00,1,221,4
126,21090,02/02/2006 8.37.00,1,221,3
126,21091,02/02/2006 8.37.00,1,221,2
100,19254,02/02/2006 8.37.00,313,221,4
111,22694,02/02/2006 8.37.00,1,221,2
112,36473,02/02/2006 8.37.00,1,221,4
100,26971,02/02/2006 8.37.00,1,221,3
126,21089,02/02/2006 8.37.00,1,221,2
99,30330,02/02/2006 8.37.00,1,221,2
96,27011,02/02/2006 8.37.00,1,221,3
97,25663,02/02/2006 8.37.00,1,221,1
187,13589,02/02/2006 8.37.00,1,221,3
187,13590,02/02/2006 8.37.00,1,221,4
100,24594,02/02/2006 8.37.00,4,221,4
96,26791,02/02/2006 8.37.00,1,221,3
97,25114,02/02/2006 8.37.00,1,221,3
108,22021,02/02/2006 8.37.00,1,221,2
96,27439,02/02/2006 8.37.00,1,221,1
111,22693,02/02/2006 8.37.00,1,221,4
100,27020,02/02/2006 8.38.00,1,221,2
96,27520,02/02/2006 8.38.00,1,221,2
97,25805,02/02/2006 8.38.00,1,221,4
131,13544,02/02/2006 8.38.00,1,221,4
97,25768,02/02/2006 8.38.00,1,221,3
97,25766,02/02/2006 8.38.00,1,221,4
102,27251,02/02/2006 8.38.00,1,221,4
99,30323,02/02/2006 8.38.00,1,221,2
98,22657,02/02/2006 8.38.00,1,221,3
112,37862,02/02/2006 8.38.00,1,221,1
100,26970,02/02/2006 8.38.00,1,221,4
102,27248,02/02/2006 8.38.00,1,221,2
96,26852,02/02/2006 8.38.00,1,221,2
97,25767,02/02/2006 8.38.00,1,221,3
109,25230,02/02/2006 8.38.00,1,221,3
100,26973,02/02/2006 8.38.00,1,221,3
100,27021,02/02/2006 8.38.00,1,221,2
98,22656,02/02/2006 8.39.00,1,221,2
120,23155,02/02/2006 8.39.00,1,221,1
104,21542,02/02/2006 8.39.00,1,221,1
120,23052,02/02/2006 8.39.00,1,221,4
140,9073,02/02/2006 8.39.00,1,221,4
120,23053,02/02/2006 8.39.00,1,221,4
101,43345,02/02/2006 8.39.00,1,221,2
129,19520,02/02/2006 8.39.00,1,221,1
101,43343,02/02/2006 8.39.00,1,221,4
102,27254,02/02/2006 8.39.00,1,221,3
101,43341,02/02/2006 8.39.00,1,221,2
104,21543,02/02/2006 8.39.00,1,221,4
97,25567,02/02/2006 8.39.00,1,221,2
120,23283,02/02/2006 8.39.00,1,221,4
108,22019,02/02/2006 8.39.00,1,221,1
100,27126,02/02/2006 8.39.00,1,221,4
108,22020,02/02/2006 8.39.00,1,221,1
100,27128,02/02/2006 8.39.00,1,221,2
120,23159,02/02/2006 8.39.00,1,221,1
118,36221,02/02/2006 8.39.00,1,221,4
100,27585,02/02/2006 8.39.00,1,221,3
100,27633,02/02/2006 8.39.00,1,221,4
98,22613,02/02/2006 8.39.00,1,221,3
98,22612,02/02/2006 8.39.00,1,221,2
102,27255,02/02/2006 8.39.00,1,221,4
96,26854,02/02/2006 8.39.00,1,221,2
98,22658,02/02/2006 8.39.00,1,221,4
99,20420,02/02/2006 8.39.00,1,221,4
99,20303,02/02/2006 8.39.00,1,221,1
120,23158,02/02/2006 8.39.00,1,221,2
100,27308,02/02/2006 8.40.00,1,221,4
101,43331,02/02/2006 8.40.00,1,221,4
112,37754,02/02/2006 8.40.00,1,221,1
101,43333,02/02/2006 8.40.00,1,221,4
97,25807,02/02/2006 8.40.00,1,221,3
99,29912,02/02/2006 8.40.00,1,221,4
99,30336,02/02/2006 8.40.00,1,221,3
96,26627,02/02/2006 8.40.00,1,221,1
98,22406,02/02/2006 8.40.00,1,221,2
99,30339,02/02/2006 8.40.00,1,221,3
109,25156,02/02/2006 8.40.00,1,221,1
109,25158,02/02/2006 8.40.00,1,221,2
131,13113,02/02/2006 8.40.00,1,221,3
101,43352,02/02/2006 8.40.00,1,221,1
101,43335,02/02/2006 8.40.00,1,221,4
96,26628,02/02/2006 8.40.00,1,221,1
104,21012,02/02/2006 8.40.00,1,221,2
101,43346,02/02/2006 8.40.00,1,221,4
99,29913,02/02/2006 8.40.00,1,221,1
104,21538,02/02/2006 8.40.00,1,221,2
104,21537,02/02/2006 8.40.00,1,221,3
100,27307,02/02/2006 8.40.00,1,221,4
101,43368,02/02/2006 8.40.00,1,221,3
101,43510,02/02/2006 8.40.00,1,221,1
131,13114,02/02/2006 8.40.00,1,221,1
131,13115,02/02/2006 8.40.00,1,221,1
96,27190,02/02/2006 8.40.00,1,221,1
100,27131,02/02/2006 8.40.00,1,221,4
101,43364,02/02/2006 8.40.00,1,221,2
98,22402,02/02/2006 8.40.00,1,221,2
96,26630,02/02/2006 8.40.00,1,221,1
101,43363,02/02/2006 8.40.00,1,221,2
96,26631,02/02/2006 8.40.00,1,221,1
121,28862,02/02/2006 8.40.00,1,221,1
108,21246,02/02/2006 8.40.00,1,221,2
108,21253,02/02/2006 8.40.00,1,221,3
109,25155,02/02/2006 8.40.00,1,221,2
108,21251,02/02/2006 8.40.00,1,221,4
108,21244,02/02/2006 8.40.00,1,221,3
101,43347,02/02/2006 8.40.00,1,221,2
101,43329,02/02/2006 8.41.00,1,221,2
140,9243,02/02/2006 8.41.00,1,221,2
99,30386,02/02/2006 8.41.00,1,221,4
97,25574,02/02/2006 8.41.00,1,221,4
96,26555,02/02/2006 8.41.00,1,221,2
98,23057,02/02/2006 8.41.00,1,221,4
102,27670,02/02/2006 8.41.00,1,221,4
140,9244,02/02/2006 8.41.00,1,221,2
101,43337,02/02/2006 8.41.00,1,221,1
100,22380,02/02/2006 8.41.00,1,221,2
102,27671,02/02/2006 8.41.00,1,221,4
100,22381,02/02/2006 8.41.00,1,221,3
99,30385,02/02/2006 8.41.00,1,221,4
99,30390,02/02/2006 8.41.00,1,221,3
99,30389,02/02/2006 8.41.00,1,221,4
99,30388,02/02/2006 8.41.00,1,221,2
99,30387,02/02/2006 8.41.00,1,221,4
99,30338,02/02/2006 8.42.00,1,221,2
96,27000,02/02/2006 8.42.00,1,221,4
101,43351,02/02/2006 8.42.00,1,221,1
101,44079,02/02/2006 8.42.00,1,221,4
291,82170,02/02/2006 8.42.00,1,221,2
101,44051,02/02/2006 8.42.00,1,221,3
100,27259,02/02/2006 8.42.00,1,221,1
99,30340,02/02/2006 8.42.00,1,221,4
99,30337,02/02/2006 8.42.00,1,221,1
96,26855,02/02/2006 8.42.00,1,221,4
98,23260,02/02/2006 8.42.00,1,221,2
98,22514,02/02/2006 8.42.00,1,221,4
106,26453,02/02/2006 8.42.00,1,221,1
96,26850,02/02/2006 8.42.00,1,221,3
106,26454,02/02/2006 8.42.00,1,221,4
104,21366,02/02/2006 8.42.00,1,221,1
99,30341,02/02/2006 8.42.00,1,221,2
106,26452,02/02/2006 8.42.00,1,221,2
97,25883,02/02/2006 8.42.00,1,221,4
101,44061,02/02/2006 8.42.00,1,221,3
100,27272,02/02/2006 8.42.00,1,221,4
104,21365,02/02/2006 8.42.00,1,221,1
101,44060,02/02/2006 8.42.00,1,221,2
99,29865,02/02/2006 8.42.00,1,221,2
96,27001,02/02/2006 8.42.00,1,221,3
104,21153,02/02/2006 8.43.00,1,221,2
98,22432,02/02/2006 8.43.00,1,221,2
96,26849,02/02/2006 8.43.00,1,221,3
102,26861,02/02/2006 8.43.00,1,221,4
104,21154,02/02/2006 8.43.00,1,221,4
96,20987,02/02/2006 8.43.00,313,221,2
98,14915,02/02/2006 8.43.00,1,221,4
97,25719,02/02/2006 8.43.00,1,221,4
102,26860,02/02/2006 8.43.00,1,221,2
101,43762,02/02/2006 8.43.00,1,221,3
98,22513,02/02/2006 8.43.00,1,221,4
99,30345,02/02/2006 8.43.00,1,221,2
98,22468,02/02/2006 8.44.00,1,221,4
102,27095,02/02/2006 8.44.00,1,221,2
98,23172,02/02/2006 8.44.00,1,221,4
126,21092,02/02/2006 8.44.00,1,221,4
98,22388,02/02/2006 8.44.00,1,221,3
97,25629,02/02/2006 8.44.00,1,221,2
97,25573,02/02/2006 8.44.00,1,221,2
101,43720,02/02/2006 8.44.00,1,221,3
101,43721,02/02/2006 8.44.00,1,221,2
101,43548,02/02/2006 8.44.00,1,221,3
98,22395,02/02/2006 8.44.00,1,221,2
98,22390,02/02/2006 8.44.00,1,221,3
101,43549,02/02/2006 8.44.00,1,221,2
295,72478,02/02/2006 8.45.00,1,221,4
104,21006,02/02/2006 8.45.00,1,221,4
98,22392,02/02/2006 8.45.00,1,221,4
98,22389,02/02/2006 8.45.00,1,221,3
101,43085,02/02/2006 8.45.00,1,221,3
99,30199,02/02/2006 8.45.00,1,221,2
98,22394,02/02/2006 8.45.00,1,221,1
99,29963,02/02/2006 8.45.00,1,221,1
104,21007,02/02/2006 8.45.00,1,221,4
112,37764,02/02/2006 8.45.00,1,221,1
101,43087,02/02/2006 8.45.00,1,221,3
101,43053,02/02/2006 8.45.00,1,221,2
98,22310,02/02/2006 8.45.00,1,221,1
101,43050,02/02/2006 8.45.00,1,221,4
131,13132,02/02/2006 8.45.00,1,221,2
97,25859,02/02/2006 8.45.00,1,221,2
101,43496,02/02/2006 8.45.00,1,221,3
101,43495,02/02/2006 8.45.00,1,221,3
99,29962,02/02/2006 8.45.00,1,221,2
126,21093,02/02/2006 8.45.00,1,221,4
98,22506,02/02/2006 8.45.00,1,221,4
98,22508,02/02/2006 8.45.00,1,221,3
101,43498,02/02/2006 8.45.00,1,221,2
101,43839,02/02/2006 8.46.00,1,221,4
112,38005,02/02/2006 8.46.00,1,221,4
110,29576,02/02/2006 8.46.00,1,221,3
101,43091,02/02/2006 8.46.00,1,221,2
111,22690,02/02/2006 8.46.00,1,221,4
111,22878,02/02/2006 8.46.00,1,221,2
105,17537,02/02/2006 8.46.00,1,221,1
