CASSA,SERIE,DATA_ORA,POOL,ID_IMPIANTO,ID_LETTORE
346,63173,05/01/2006 8.36.00,1,175,2
72,18484,05/01/2006 8.36.00,311,175,3
74,50143,05/01/2006 8.42.00,314,175,2
74,50145,05/01/2006 8.42.00,314,175,3
74,50147,05/01/2006 8.42.00,314,175,2
91,60074,05/01/2006 8.43.00,1,175,1
91,60073,05/01/2006 8.43.00,1,175,2
91,60075,05/01/2006 8.43.00,1,175,3
64,13680,05/01/2006 8.43.00,1,175,3
64,13679,05/01/2006 8.43.00,1,175,2
64,13681,05/01/2006 8.43.00,1,175,2
75,20681,05/01/2006 8.45.00,1,175,3
75,20680,05/01/2006 8.45.00,1,175,2
91,60083,05/01/2006 8.52.00,1,175,2
91,60082,05/01/2006 8.52.00,1,175,2
52,23294,05/01/2006 8.52.00,1,175,2
91,60141,05/01/2006 8.53.00,311,175,2
71,10247,05/01/2006 8.53.00,1,175,3
75,20934,05/01/2006 8.53.00,1,175,2
73,18255,05/01/2006 8.53.00,1,175,3
76,20265,05/01/2006 8.53.00,1,175,2
91,60142,05/01/2006 8.53.00,311,175,1
76,20266,05/01/2006 8.53.00,1,175,3
76,20394,05/01/2006 8.53.00,1,175,4
73,18257,05/01/2006 8.53.00,1,175,4
72,18221,05/01/2006 8.54.00,1,175,2
73,18148,05/01/2006 8.54.00,1,175,3
74,72467,05/01/2006 8.55.00,1,175,4
72,18222,05/01/2006 8.55.00,1,175,2
74,53397,05/01/2006 8.55.00,1,175,3
75,20368,05/01/2006 8.55.00,1,175,3
91,58073,05/01/2006 8.55.00,1,175,1
91,58074,05/01/2006 8.55.00,1,175,2
91,57836,05/01/2006 8.57.00,1,175,3
91,57837,05/01/2006 8.57.00,1,175,2
74,72834,05/01/2006 8.58.00,1,175,3
91,58046,05/01/2006 8.58.00,1,175,2
91,58047,05/01/2006 8.58.00,1,175,3
74,54293,05/01/2006 8.58.00,1,175,3
74,65287,05/01/2006 8.58.00,1,175,2
74,53481,05/01/2006 8.58.00,1,175,1
33,53264,05/01/2006 8.58.00,1,175,2
33,53263,05/01/2006 8.58.00,1,175,1
73,14843,05/01/2006 8.59.00,1,175,4
33,53609,05/01/2006 8.59.00,1,175,3
92,37219,05/01/2006 8.59.00,314,175,2
31,75323,05/01/2006 8.59.00,1,175,3
33,53615,05/01/2006 8.59.00,1,175,2
33,53608,05/01/2006 8.59.00,1,175,4
33,53613,05/01/2006 8.59.00,1,175,1
92,37555,05/01/2006 8.59.00,314,175,3
31,75482,05/01/2006 8.59.00,1,175,2
33,53610,05/01/2006 8.59.00,1,175,4
80,15508,05/01/2006 9.00.00,1,175,3
75,20664,05/01/2006 9.00.00,1,175,2
75,20663,05/01/2006 9.00.00,1,175,2
80,15510,05/01/2006 9.01.00,1,175,2
95,978,05/01/2006 9.01.00,1,175,3
75,20661,05/01/2006 9.01.00,1,175,2
72,17720,05/01/2006 9.02.00,1,175,3
72,17721,05/01/2006 9.02.00,1,175,2
72,15334,05/01/2006 9.02.00,1,175,3
75,20646,05/01/2006 9.02.00,1,175,4
74,65270,05/01/2006 9.02.00,1,175,4
71,9743,05/01/2006 9.02.00,1,175,2
72,18622,05/01/2006 9.03.00,1,175,2
91,60079,05/01/2006 9.03.00,1,175,2
75,21381,05/01/2006 9.03.00,1,175,3
74,53625,05/01/2006 9.03.00,1,175,3
72,18621,05/01/2006 9.03.00,1,175,3
75,21380,05/01/2006 9.03.00,1,175,2
75,21382,05/01/2006 9.03.00,1,175,1
74,65470,05/01/2006 9.03.00,1,175,4
91,60078,05/01/2006 9.03.00,1,175,1
72,18670,05/01/2006 9.04.00,1,175,3
73,18774,05/01/2006 9.04.00,1,175,2
73,18741,05/01/2006 9.04.00,1,175,2
74,47955,05/01/2006 9.04.00,1,175,1
86,22583,05/01/2006 9.04.00,311,175,2
73,18772,05/01/2006 9.04.00,1,175,1
86,22582,05/01/2006 9.05.00,311,175,2
31,75320,05/01/2006 9.05.00,1,175,2
73,18775,05/01/2006 9.05.00,1,175,4
31,75329,05/01/2006 9.05.00,1,175,3
75,21238,05/01/2006 9.05.00,311,175,4
73,18773,05/01/2006 9.05.00,1,175,2
75,16674,05/01/2006 9.05.00,1,175,3
73,19065,05/01/2006 9.05.00,311,175,4
74,72606,05/01/2006 9.05.00,1,175,1
91,59748,05/01/2006 9.06.00,1,175,2
91,59389,05/01/2006 9.06.00,1,175,2
91,59388,05/01/2006 9.06.00,1,175,2
92,41861,05/01/2006 9.06.00,314,175,4
91,59747,05/01/2006 9.06.00,1,175,3
74,53685,05/01/2006 9.06.00,1,175,3
92,37556,05/01/2006 9.06.00,314,175,4
74,72608,05/01/2006 9.06.00,1,175,2
72,18432,05/01/2006 9.07.00,311,175,4
75,16626,05/01/2006 9.07.00,1,175,2
73,19114,05/01/2006 9.07.00,1,175,2
91,59745,05/01/2006 9.07.00,1,175,4
72,18433,05/01/2006 9.07.00,311,175,3
75,20922,05/01/2006 9.07.00,1,175,3
75,20920,05/01/2006 9.07.00,1,175,4
74,48774,05/01/2006 9.08.00,1,175,4
73,18676,05/01/2006 9.08.00,1,175,2
73,18677,05/01/2006 9.08.00,1,175,2
91,60139,05/01/2006 9.09.00,311,175,3
84,23369,05/01/2006 9.09.00,1,175,2
91,60140,05/01/2006 9.09.00,311,175,4
91,59746,05/01/2006 9.10.00,1,175,4
81,17240,05/01/2006 9.10.00,1,175,1
74,47982,05/01/2006 9.10.00,1,175,2
79,23471,05/01/2006 9.10.00,1,175,2
79,23469,05/01/2006 9.10.00,1,175,3
74,53603,05/01/2006 9.10.00,314,175,2
75,20431,05/01/2006 9.10.00,1,175,3
81,17241,05/01/2006 9.10.00,1,175,2
75,20429,05/01/2006 9.10.00,1,175,3
75,21085,05/01/2006 9.10.00,1,175,2
72,18483,05/01/2006 9.10.00,1,175,1
91,59776,05/01/2006 9.11.00,311,175,3
91,59774,05/01/2006 9.11.00,311,175,2
81,17242,05/01/2006 9.11.00,1,175,1
74,53402,05/01/2006 9.12.00,1,175,3
75,21255,05/01/2006 9.12.00,311,175,3
73,18598,05/01/2006 9.12.00,1,175,3
73,18599,05/01/2006 9.12.00,1,175,3
